project,bug_ID,patch_ID,label,verdict,consistency,time
Chart,1,Chart_bug1,Correct,A,C,613.0382428169249
Chart,1,Patch1,Incorrect,A,I,613.1409575939177
Chart,1,Patch2,Incorrect,A,I,612.8272907733917
Chart,3,Chart_bug3,Correct,A,C,612.7398800849916
Chart,3,Patch4,Incorrect,A,I,612.6391320228578
Chart,5,Chart_bug5,Correct,A,C,612.2643840312958
Chart,5,Patch5,Incorrect,R,C,25.003870010375977
Chart,5,Patch6,Incorrect,R,C,25.277878522872925
Chart,5,Patch7,Incorrect,R,C,25.428236961364746
Chart,7,Chart_bug7,Correct,A,C,612.2735061645508
Chart,7,Patch8,Incorrect,A,I,612.1141002178192
Chart,9,Chart_bug9,Correct,A,C,612.515594959259
Chart,9,Patch88,Incorrect,A,I,612.1755583286284
Chart,13,Chart_bug13,Correct,A,C,612.5236625671388
Chart,13,Patch10,Incorrect,R,C,25.33898186683655
Chart,13,Patch11,Incorrect,R,C,25.64462184906006
Chart,13,Patch89,Incorrect,R,C,25.476720094680786
Chart,13,Patch9,Incorrect,R,C,11.72437858581543
Chart,14,Chart_bug14,Correct,A,C,612.6215145587921
Chart,14,Patch188,Correct,A,C,612.7386412620543
Chart,15,Chart_bug15,Correct,A,C,612.5566177368164
Chart,15,Patch12,Incorrect,R,C,27.86175513267517
Chart,15,Patch13,Incorrect,R,C,27.807121753692627
Chart,17,Chart_bug17,Correct,A,C,614.3349113464354
Chart,17,Patch90,Incorrect,A,I,625.1025061607362
Chart,19,Chart_bug19,Correct,A,C,612.3175249099731
Chart,19,Patch189,Correct,A,C,612.2319157123567
Chart,21,Chart_bug21,Correct,A,C,612.2210099697112
Chart,21,Patch14,Incorrect,R,C,25.319958448410034
Chart,21,Patch91,Incorrect,R,C,25.222684144973755
Chart,25,Chart_bug25,Correct,A,C,612.4308650493623
Chart,25,Patch15,Incorrect,R,C,28.46587538719177
Chart,25,Patch16,Incorrect,R,C,27.68862891197205
Chart,25,Patch17,Incorrect,R,C,28.209911108016968
Chart,25,Patch92,Incorrect,R,C,28.45932626724243
Chart,26,Chart_bug26,Correct,A,C,612.6634545326232
Chart,26,Patch18,Incorrect,A,I,612.3979804515839
Chart,26,Patch19,Incorrect,R,C,28.51150345802307
Chart,26,Patch93,Incorrect,R,C,28.33658599853516
Lang,7,Lang_bug7,Correct,A,C,611.3029384613038
Lang,24,162_PFL_kPAR_Patch_247_247,Correct,A,C,610.9779086112976
Lang,24,236_PFL_ACS_Patch_1_1,Correct,A,C,611.1511979103087
Lang,24,291_PFL_TBar_Patch_12_12,Correct,A,C,611.0304822921752
Lang,24,322_NFL_ACS_Patch_1_1,Correct,A,C,611.3303604125978
Lang,24,361_NFL_TBar_Patch_2414_1931,Incorrect,A,I,611.1114590167998
Lang,24,Lang_bug24,Correct,A,C,611.0421521663667
Lang,24,Patch191,Correct,A,C,611.1511280536653
Lang,35,Lang_bug35,Correct,A,C,611.1620073318481
Lang,35,Patch192,Incorrect,A,I,610.9802606105803
Lang,39,254_PFL_TBar_Patch_7_4,Correct,R,I,23.33231210708618
Lang,39,408_NFL_TBar_Patch_1350_1039,Incorrect,R,I,23.195173263549805
Lang,39,444_PFL_SimFix_Patch_17_17,Correct,R,I,22.83594036102295
Lang,39,547_NFL_SimFix_Patch_2275_2275,Correct,R,I,22.58071494102478
Lang,39,65_PFL_AVATAR_Patch_13_1,Incorrect,R,I,23.403728246688843
Lang,39,83_NFL_AVATAR_Patch_525_180,Incorrect,R,I,22.863595485687256
Lang,39,Lang_bug39,Correct,R,I,23.46890902519226
Lang,39,Patch193,Incorrect,R,C,23.225040912628174
Lang,39,Patch20,Incorrect,R,C,23.154704570770264
